model_name;learning_rate;batch_size;optimizer;loss_function;img_size;target_feature;augument;filter;epochs;train_dataset_size;test_dataset_size;target_ratio_train_mean;test_positives_mean;target_ratio_test_mean;accuracy_min;accuracy_max;accuracy_mean;auc_min;auc_max;auc_mean;sensitivity_min;sensitivity_max;sensitivity_mean;specificity_min;specificity_max;specificity_mean;precision_min;precision_max;precision_mean;threshold_min;threshold_max;threshold_mean;run_date;elapsed_mins;iterations;status
ResNet101;0.0005;8;Adam;categorical_crossentropy;180;cancer;0;none;100;366;48;0.59;29.0;0.6;0.62;0.62;0.62;0.57;0.57;0.57;0.72;0.72;0.72;0.47;0.47;0.47;0.68;0.68;0.68;0.7490424;0.7490424;0.7490424;20231212_2152;8;1;OK
ResNet101;0.0005;8;SGD;categorical_crossentropy;180;cancer;0;none;100;366;48;0.59;29.0;0.6;0.69;0.69;0.69;0.62;0.62;0.62;0.69;0.69;0.69;0.68;0.68;0.68;0.77;0.77;0.77;0.4972293;0.4972293;0.4972293;20231212_2205;7;1;OK
ResNet101;0.0005;16;Adam;categorical_crossentropy;180;cancer;0;none;100;366;48;0.59;29.0;0.6;0.58;0.58;0.58;0.58;0.58;0.58;0.38;0.38;0.38;0.89;0.89;0.89;0.85;0.85;0.85;0.9767968;0.9767968;0.9767968;20231212_2217;7;1;OK
ResNet101;0.0005;16;SGD;categorical_crossentropy;180;cancer;0;none;100;366;48;0.59;29.0;0.6;0.73;0.73;0.73;0.76;0.76;0.76;0.79;0.79;0.79;0.63;0.63;0.63;0.77;0.77;0.77;0.5672878;0.5672878;0.5672878;20231212_2225;7;1;OK
ResNet101;0.0005;32;Adam;categorical_crossentropy;180;cancer;0;none;100;366;48;0.59;29.0;0.6;0.44;0.44;0.44;0.43;0.43;0.43;0.41;0.41;0.41;0.47;0.47;0.47;0.55;0.55;0.55;0.5695676;0.5695676;0.5695676;20231212_2232;4;1;OK
ResNet101;0.0005;32;SGD;categorical_crossentropy;180;cancer;0;none;100;366;48;0.59;29.0;0.6;0.46;0.46;0.46;0.39;0.39;0.39;0.34;0.34;0.34;0.63;0.63;0.63;0.59;0.59;0.59;0.5273659;0.5273659;0.5273659;20231212_2239;4;1;OK
ResNet101;0.005;8;Adam;categorical_crossentropy;180;cancer;0;none;100;366;48;0.59;29.0;0.6;0.71;0.71;0.71;0.61;0.61;0.61;0.9;0.9;0.9;0.42;0.42;0.42;0.7;0.7;0.7;0.55995244;0.55995244;0.55995244;20231212_2046;9;1;OK
ResNet101;0.005;8;SGD;categorical_crossentropy;180;cancer;0;none;100;366;48;0.59;29.0;0.6;0.69;0.69;0.69;0.67;0.67;0.67;0.69;0.69;0.69;0.68;0.68;0.68;0.77;0.77;0.77;0.7681449;0.7681449;0.7681449;20231212_2100;8;1;OK
ResNet101;0.005;16;Adam;binary_crossentropy;180;cancer;0;none;100;366;48;0.59;29.0;0.6;0.4;0.65;0.5383333333333333;0.5;0.57;0.5383333333333333;0.0;0.79;0.4366666666666667;0.42;1.0;0.6933333333333334;0.0;0.71;0.4583333333333333;0.48127;1.0;0.7182293633333333;20240224_0456;32;6;OK
ResNet101;0.005;16;Adam;categorical_crossentropy;180;cancer;0;none;100;366;48;0.59;29.0;0.6;0.4;0.67;0.48714285714285716;0.37;0.6;0.5071428571428571;0.0;0.72;0.26999999999999996;0.32;1.0;0.812857142857143;0.0;0.74;0.3;0.6094169;1.0;0.8392451771428571;20240224_0245;29;5;OK
