λ python main.py
2023-10-03 20:19:37,573(main) INFO: starting...
2023-10-03 20:19:43,061(main) INFO: processing start... models: 11 cv iters: 2 filter: none
306 (306, 180, 180, 1)
54 (54, 180, 180, 1)
56 (56, 180, 180, 1)
2023-10-03 20:58:24,318(main) INFO: {'run_num': 1, 'total_runs': 264, 'model_name': 'VGG16', 'model_num': 1, 'iter_num': 1, 'filter': 'none', 'cancer_ratio_train': 0.53, 'cancer_ratio_test': 0.46, 'accuracy': 0.54, 'train_dataset_size': 56, 'test_dataset_size': 306, 'learning_rate': 0.01, 'batch_size': 8, 'optimizer': 'Adam', 'elapsed_mins': 29}
2023-10-03 21:41:18,706(main) INFO: {'run_num': 2, 'total_runs': 264, 'model_name': 'VGG19', 'model_num': 2, 'iter_num': 1, 'filter': 'none', 'cancer_ratio_train': 0.53, 'cancer_ratio_test': 0.46, 'accuracy': 0.46, 'train_dataset_size': 56, 'test_dataset_size': 306, 'learning_rate': 0.01, 'batch_size': 8, 'optimizer': 'Adam', 'elapsed_mins': 37}
2023-10-03 22:12:52,007(main) INFO: {'run_num': 3, 'total_runs': 264, 'model_name': 'ResNet50', 'model_num': 3, 'iter_num': 1, 'filter': 'none', 'cancer_ratio_train': 0.53, 'cancer_ratio_test': 0.46, 'accuracy': 0.66, 'train_dataset_size': 56, 'test_dataset_size': 306, 'learning_rate': 0.01, 'batch_size': 8, 'optimizer': 'Adam', 'elapsed_mins': 15}
2023-10-03 22:33:45,339(main) INFO: {'run_num': 4, 'total_runs': 264, 'model_name': 'denseNet201', 'model_num': 4, 'iter_num': 1, 'filter': 'none', 'cancer_ratio_train': 0.53, 'cancer_ratio_test': 0.46, 'accuracy': 0.54, 'train_dataset_size': 56, 'test_dataset_size': 306, 'learning_rate': 0.01, 'batch_size': 8, 'optimizer': 'Adam', 'elapsed_mins': 41}
2023-10-03 22:44:05,195(main) INFO: {'run_num': 5, 'total_runs': 264, 'model_name': 'denseNet121', 'model_num': 5, 'iter_num': 1, 'filter': 'none', 'cancer_ratio_train': 0.53, 'cancer_ratio_test': 0.46, 'accuracy': 0.54, 'train_dataset_size': 56, 'test_dataset_size': 306, 'learning_rate': 0.01, 'batch_size': 8, 'optimizer': 'Adam', 'elapsed_mins': 20}
2023-10-03 22:54:15,439(main) INFO: {'run_num': 6, 'total_runs': 264, 'model_name': 'cnn1', 'model_num': 6, 'iter_num': 1, 'filter': 'none', 'cancer_ratio_train': 0.53, 'cancer_ratio_test': 0.46, 'accuracy': 0.46, 'train_dataset_size': 56, 'test_dataset_size': 306, 'learning_rate': 0.01, 'batch_size': 8, 'optimizer': 'Adam', 'elapsed_mins': 20}
2023-10-03 23:02:20,599(main) INFO: {'run_num': 7, 'total_runs': 264, 'model_name': 'cnn2', 'model_num': 7, 'iter_num': 1, 'filter': 'none', 'cancer_ratio_train': 0.53, 'cancer_ratio_test': 0.46, 'accuracy': 0.66, 'train_dataset_size': 56, 'test_dataset_size': 306, 'learning_rate': 0.01, 'batch_size': 8, 'optimizer': 'Adam', 'elapsed_mins': 16}
2023-10-03 23:12:48,321(main) INFO: {'run_num': 8, 'total_runs': 264, 'model_name': 'cnn3', 'model_num': 8, 'iter_num': 1, 'filter': 'none', 'cancer_ratio_train': 0.53, 'cancer_ratio_test': 0.46, 'accuracy': 0.46, 'train_dataset_size': 56, 'test_dataset_size': 306, 'learning_rate': 0.01, 'batch_size': 8, 'optimizer': 'Adam', 'elapsed_mins': 20}
2023-10-03 23:23:40,232(main) INFO: {'run_num': 9, 'total_runs': 264, 'model_name': 'cnn4', 'model_num': 9, 'iter_num': 1, 'filter': 'none', 'cancer_ratio_train': 0.53, 'cancer_ratio_test': 0.46, 'accuracy': 0.46, 'train_dataset_size': 56, 'test_dataset_size': 306, 'learning_rate': 0.01, 'batch_size': 8, 'optimizer': 'Adam', 'elapsed_mins': 21}
2023-10-03 23:34:14,116(main) INFO: {'run_num': 10, 'total_runs': 264, 'model_name': 'cnn5', 'model_num': 10, 'iter_num': 1, 'filter': 'none', 'cancer_ratio_train': 0.53, 'cancer_ratio_test': 0.46, 'accuracy': 0.46, 'train_dataset_size': 56, 'test_dataset_size': 306, 'learning_rate': 0.01, 'batch_size': 8, 'optimizer': 'Adam', 'elapsed_mins': 21}
2023-10-03 23:44:39,742(main) INFO: {'run_num': 11, 'total_runs': 264, 'model_name': 'cnn6', 'model_num': 11, 'iter_num': 1, 'filter': 'none', 'cancer_ratio_train': 0.53, 'cancer_ratio_test': 0.46, 'accuracy': 0.46, 'train_dataset_size': 56, 'test_dataset_size': 306, 'learning_rate': 0.01, 'batch_size': 8, 'optimizer': 'Adam', 'elapsed_mins': 20}
2023-10-04 00:14:49,124(main) INFO: {'run_num': 12, 'total_runs': 264, 'model_name': 'VGG16', 'model_num': 1, 'iter_num': 1, 'filter': 'none', 'cancer_ratio_train': 0.53, 'cancer_ratio_test': 0.46, 'accuracy': 0.62, 'train_dataset_size': 56, 'test_dataset_size': 306, 'learning_rate': 0.01, 'batch_size': 8, 'optimizer': 'SDG', 'elapsed_mins': 12}
2023-10-04 00:50:33,714(main) INFO: {'run_num': 13, 'total_runs': 264, 'model_name': 'VGG19', 'model_num': 2, 'iter_num': 1, 'filter': 'none', 'cancer_ratio_train': 0.53, 'cancer_ratio_test': 0.46, 'accuracy': 0.46, 'train_dataset_size': 56, 'test_dataset_size': 306, 'learning_rate': 0.01, 'batch_size': 8, 'optimizer': 'SDG', 'elapsed_mins': 23}
2023-10-04 01:21:47,957(main) INFO: {'run_num': 14, 'total_runs': 264, 'model_name': 'ResNet50', 'model_num': 3, 'iter_num': 1, 'filter': 'none', 'cancer_ratio_train': 0.53, 'cancer_ratio_test': 0.46, 'accuracy': 0.55, 'train_dataset_size': 56, 'test_dataset_size': 306, 'learning_rate': 0.01, 'batch_size': 8, 'optimizer': 'SDG', 'elapsed_mins': 14}
2023-10-04 01:42:41,723(main) INFO: {'run_num': 15, 'total_runs': 264, 'model_name': 'denseNet201', 'model_num': 4, 'iter_num': 1, 'filter': 'none', 'cancer_ratio_train': 0.53, 'cancer_ratio_test': 0.46, 'accuracy': 0.8, 'train_dataset_size': 56, 'test_dataset_size': 306, 'learning_rate': 0.01, 'batch_size': 8, 'optimizer': 'SDG', 'elapsed_mins': 41}
